name,state,population,breast,colorectal,prostate,lung,melanoma,poverty,income,region,black_alone,white_alone,asian_alone,lat,lon
trinity,ca,13180,118.4,29.7,92.1,66.6,30.3,22.1,35708,pacific,1.0925644916540211,86.28983308042488,1.5553869499241275,40.650694,-123.112628
tulare,ca,455769,106,36.8,104.6,47.9,15.4,29.6,39657,pacific,1.5931316083366793,79.68532304742095,3.5114279382757494,36.220157,-118.800473
tuolumne,ca,53864,132.1,39.6,104.6,58,39.3,14.6,50774,pacific,1.8992276845388385,88.40412891727313,1.3107084509134115,38.027601,-119.954753
ventura,ca,843110,131.8,36.6,116.4,41.5,27.3,12,76513,pacific,1.7609801805221146,79.43542361020508,7.0867383852640815,34.325358,-119.147678
yolo,ca,209671,132.9,34,109.8,42.3,25.3,17.8,55011,pacific,2.4614753590148375,67.08986936676985,13.875070944479685,38.686646,-121.90162
yuba,ca,73897,112.6,39.5,112.3,68.1,23.9,20.6,41824,pacific,3.058310892187775,72.01510210157382,6.935328903744401,39.269008,-121.351262
adams,co,479977,115.9,40.1,112.5,52.6,16.4,13.2,54876,mountain,3.2028618037947654,82.77771643224571,3.745596143148526,39.87364,-104.337801
arapahoe,co,617668,133.3,34.2,118.7,47.5,19.8,12.3,61092,mountain,10.379362375904208,72.45105784984814,5.591029485095553,39.650038,-104.335247
archuleta,co,12355,131.6,30.4,111.7,31.7,29.4,15.1,44417,mountain,0.9631728045325779,85.67381626871712,0.7203561311210036,37.193596,-107.048329
boulder,co,313961,135.6,30.1,121.3,35.5,23.8,13.5,71405,mountain,0.928140756335978,88.56131812549967,4.478263223776201,40.093574,-105.358571
